(("manufacturer", "Samsung"), "hasStatement", ("statement", "SamsungConsumerHealthDataPrivacyStatement"), 0.5)
(("manufacturer", "Samsung"), "hasPolicy", ("policy", "SamsungPrivacyPolicy"), 0.5)
(("manufacturer", "Samsung"), "hasPolicy", ("policy", "SmartThingsUSPrivacyNoticeForMinors"), 0.5)
(("manufacturer", "Samsung"), "hasService", ("service", "SmartService"), 0.5)
(("manufacturer", "SamsungElectronicsCoLtd"), "provides", ("application", "SmartThings"), 0.5)
(("person", "User"), "uses", ("application", "SmartThings"), 0.5)
(("application", "SmartThings"), "enables", ("process", "VoiceCommands"), 0.5)
(("application", "SmartThings"), "hasVoiceAssistant", ("assistant", "Bixby"), 0.5)
(("application", "SmartThings"), "integratesWith", ("device", "SamsungVisualDisplay"), 0.5)
(("application", "SmartThings"), "integratesWith", ("service", "ThirdPartyAnalyticsServices"), 0.5)
(("application", "SmartThings"), "connectsTo", ("device", "Devices"), 0.5)
(("application", "SmartThings"), "connectsTo", ("application", "Apps"), 0.5)
(("application", "SmartThings"), "connectsTo", ("feature", "Features"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "SmartThingsClothingCare"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "SmartThingsPetCare"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "SmartThingsCooking"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "SmartThingsMapView"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "SmartThingsFamilyCare"), 0.5)
(("application", "SmartThings"), "hasSoftware", ("application", "FamilyHub"), 0.5)
(("application", "SmartThings"), "collects", ("data", "UserInteractions"), 0.5)
(("application", "SmartThings"), "collects", ("data", "UserInterests"), 0.5)
(("application", "SmartThings"), "collects", ("data", "UsageInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "AccountInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "ContactInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "SamsungAccountProfileInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "DeviceInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "DeviceConfigurations"), 0.5)
(("application", "SmartThings"), "collects", ("data", "DeviceIdentifiers"), 0.5)
(("application", "SmartThings"), "collects", ("data", "ConnectedDevices"), 0.5)
(("application", "SmartThings"), "collects", ("data", "RegisteredDevices"), 0.5)
(("application", "SmartThings"), "collects", ("data", "ThirdPartyServiceData"), 0.5)
(("application", "SmartThings"), "collects", ("data", "UserIDs"), 0.5)
(("application", "SmartThings"), "collects", ("data", "SubscriptionInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "AppList"), 0.5)
(("application", "SmartThings"), "collects", ("data", "WebsiteVisits"), 0.5)
(("application", "SmartThings"), "collects", ("data", "OnlineActivityData"), 0.5)
(("application", "SmartThings"), "collects", ("data", "BrowsingActivity"), 0.5)
(("application", "SmartThings"), "collects", ("data", "HealthInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "SleepInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "LocationData"), 0.5)
(("application", "SmartThings"), "collects", ("data", "PreciseGeolocation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "HomeInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "PetProfileInformation"), 0.5)
(("application", "SmartThings"), "collects", ("data", "DietaryPreferences"), 0.5)
(("application", "SmartThings"), "collects", ("data", "Routines"), 0.5)
(("application", "SmartThings"), "collects", ("data", "CalendarData"), 0.5)
(("application", "SmartThings"), "collects", ("data", "VoiceCommands"), 0.5)
(("application", "SmartThings"), "collects", ("data", "UserConversations"), 0.5)
(("application", "SmartThings"), "collects", ("data", "AudioContent"), 0.5)
(("application", "SmartThings"), "collects", ("data", "AudioVisualContent"), 0.5)
(("application", "SmartThings"), "collects", ("data", "VideoRecordings"), 0.5)
(("application", "SmartThings"), "collects", ("data", "Images"), 0.5)
(("application", "SmartThings"), "collects", ("data", "TouchInteractions"), 0.5)
(("application", "SmartThings"), "collects", ("data", "FoodImagesFromRefrigerator"), 0.5)
(("application", "SmartThings"), "uses", ("technology", "Cookies"), 0.5)
(("application", "SmartThings"), "uses", ("technology", "WebBeacons"), 0.5)
(("application", "SmartThings"), "uses", ("technology", "WebServerLogs"), 0.5)
(("application", "SmartThings"), "tracks", ("user", "UsersAcrossWebsites"), 0.5)
(("application", "SmartThings"), "buildsProfile", ("data", "UserBrowsingActivity"), 0.5)
(("application", "SmartThings"), "usesProtocol", ("protocol", "GPS"), 0.5)
(("application", "SmartThings"), "usesProtocol", ("protocol", "WiFi"), 0.5)
(("application", "SmartThings"), "usesProtocol", ("protocol", "Bluetooth"), 0.5)
(("application", "SmartThings"), "usesDataFor", ("purpose", "Advertising"), 0.5)
(("application", "SmartThings"), "usesDataFor", ("purpose", "TailoredServices"), 0.5)
(("application", "SmartThings"), "monitors", ("process", "MarketingEffectiveness"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "SubsidiariesAndAffiliates"), 0.5)
(("application", "SmartThings"), "sharesWith", ("entity", "BusinessPartners"), 0.5)
