(('company', 'Apple'), 'provides', ('right', 'DataTransferRights'), 0.5)
(('company', 'Cisco'), 'investigates', ('incident', 'unauthorizedDataCollection'), 0.5)
(('company', 'Cisco'), 'doesNotCollectWithoutConsent', ('data', 'childrensPersonalData'), 0.5)
(('data', 'PersonalData'), 'retainedFor', ('retentionReason', 'businessRequirements'), 0.5)
(('data', 'PersonalData'), 'disclosedAs', ('dataForm', 'anonymizedData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'ContactInformation'), 0.5)
(('company', 'Apple'), 'retains', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'ThirdPartyServiceData'), 0.5)
(('appGroup', 'AppleApps'), 'includes', ('app', 'AppleWallet'), 0.5)
(('data', 'PersonalData'), 'disclosedTo', ('organization', 'lawEnforcement'), 0.5)
(('company', 'Cisco'), 'manages', ('account', 'userAccounts'), 0.5)
(('organization', 'CiscoSubsidiaries'), 'processes', ('data', 'PersonalData'), 0.5)
(('company', 'Cisco'), 'doesNotDiscriminate', ('person', 'user'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'OnlineActivityData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'LocationData'), 0.5)
(('organization', 'thirdPartyPartners'), 'provides', ('advertising', 'interestBasedAdvertising'), 0.5)
(('account', 'AppleAccount'), 'includes', ('status', 'AccountStatus'), 0.5)
(('data', 'PersonalData'), 'includes', ('dataField', 'contacts'), 0.5)
(('application', 'SmartThings'), 'connectsTo', ('application', 'Apps'), 0.5)
(('platform', 'AppleAdvertisingPlatform'), 'delivers', ('service', 'Ads'), 0.5)
(('privacyPolicy', 'CiscoPrivacyStatement'), 'appliesTo', ('company', 'CiscoSolutions'), 0.5)
(('application', 'SmartThings'), 'sharesWith', ('entity', 'BusinessPartners'), 0.5)
(('data', 'PaymentInformation'), 'includes', ('financialData', 'CreditCardInformation'), 0.5)
(('product', 'AppleProducts'), 'provides', ('info', 'PrivacyInformation'), 0.5)
(('application', 'SmartThings'), 'monitors', ('process', 'MarketingEffectiveness'), 0.5)
(('data', 'PersonalData'), 'includes', ('data', 'communicationsContent'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'VoiceCommands'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'DeviceConfigurations'), 0.5)
(('company', 'Apple'), 'provides', ('right', 'DataDeletionRights'), 0.5)
(('application', 'SmartThings'), 'operateIndependentlyFrom', ('system', 'Devices'), 0.5)
(('program', 'CiscoGlobalPrivacyProgram'), 'compliesWith', ('framework', 'CBPR'), 0.5)
(('company', 'Apple'), 'verifies', ('process', 'UserIdentityVerification'), 0.5)
(('company', 'Apple'), 'protects', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'PreciseGeolocation'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'UserConversations'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'PetProfileInformation'), 0.5)
(('data', 'PersonalData'), 'transferredTo', ('organization', 'CiscoSubsidiaries'), 0.5)
(('company', 'Apple'), 'collects', ('data', 'TransactionInformation'), 0.5)
(('company', 'Cisco'), 'disclosesTo', ('organization', 'thirdPartyPartners'), 0.5)
(('website', 'CiscoWebsites'), 'collects', ('data', 'PersonalData'), 0.5)
(('company', 'Apple'), 'doesNotSell', ('data', 'PersonalData'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'SmartThingsMapView'), 0.5)
(('company', 'Cisco'), 'sends', ('communication', 'communications'), 0.5)
(('application', 'SmartThings'), 'collects', ('data', 'CalendarData'), 0.5)
(('privacyPolicy', 'CiscoPrivacyStatement'), 'appliesTo', ('website', 'CiscoWebsites'), 0.5)
(('person', 'User'), 'canAccess', ('data', 'PersonalData'), 0.5)
(('trackingTechnology', 'webLogs'), 'collects', ('usageData', 'usageData'), 0.5)
(('data', 'HealthInformation'), 'includes', ('data', 'PhysicalHealthData'), 0.5)
(('application', 'SmartThings'), 'hasSoftware', ('application', 'SmartThingsPetCare'), 0.5)
